date,agency_id,agency_name,gross_sales,net_sales,currency,note
2026-01-01,AG001,Atlas Partners,133.45,121.44,USD,
2026-01-01,AG002,Beacon Agency,124.74,113.51,USD,
2026-01-01,AG003,Cedar Travel,112.03,101.95,USD,
2026-01-01,AG004,Drift Voyages,101.32,92.20,USD,
2026-01-01,AG005,Elm Holidays,90.61,82.46,USD,
2026-01-01,DIRECT,Direct Channel,117.90,107.29,USD,
2026-01-07,AG001,Atlas Partners,133.82,121.78,USD,
2026-01-07,AG002,Beacon Agency,125.11,113.85,USD,
2026-01-07,AG003,Cedar Travel,112.40,102.28,USD,
2026-01-07,AG004,Drift Voyages,101.69,92.54,USD,
2026-01-07,AG005,Elm Holidays,90.98,82.79,USD,
2026-01-07,DIRECT,Direct Channel,118.27,107.63,USD,
2026-01-13,AG001,Atlas Partners,134.19,122.11,USD,
2026-01-13,AG002,Beacon Agency,125.48,114.19,USD,
2026-01-13,AG003,Cedar Travel,112.77,102.62,USD,
2026-01-13,AG004,Drift Voyages,102.06,92.87,USD,
2026-01-13,AG005,Elm Holidays,91.35,83.13,USD,
2026-01-13,DIRECT,Direct Channel,118.64,107.96,USD,
2026-01-19,AG001,Atlas Partners,134.56,122.45,USD,
2026-01-19,AG002,Beacon Agency,125.85,114.52,USD,
2026-01-19,AG003,Cedar Travel,113.14,102.96,USD,
2026-01-19,AG004,Drift Voyages,102.43,93.21,USD,
2026-01-19,AG005,Elm Holidays,91.72,83.47,USD,
2026-01-19,DIRECT,Direct Channel,119.01,108.30,USD,
2026-01-25,AG001,Atlas Partners,134.93,122.79,USD,
2026-01-25,AG002,Beacon Agency,126.22,114.86,USD,
2026-01-25,AG003,Cedar Travel,113.51,103.29,USD,
2026-01-25,AG004,Drift Voyages,102.80,93.55,USD,
2026-01-25,AG005,Elm Holidays,92.09,83.80,USD,
2026-01-25,DIRECT,Direct Channel,119.38,108.64,USD,
2026-02-01,AG001,Atlas Partners,134.40,122.30,USD,
2026-02-01,AG002,Beacon Agency,125.69,114.38,USD,
2026-02-01,AG003,Cedar Travel,112.98,102.81,USD,
2026-02-01,AG004,Drift Voyages,102.27,93.07,USD,
2026-02-01,AG005,Elm Holidays,91.56,83.32,USD,
2026-02-01,DIRECT,Direct Channel,118.85,108.15,USD,
2026-02-07,AG001,Atlas Partners,134.77,122.64,USD,
2026-02-07,AG002,Beacon Agency,126.06,114.71,USD,
2026-02-07,AG003,Cedar Travel,113.35,103.15,USD,
2026-02-07,AG004,Drift Voyages,102.64,93.40,USD,
2026-02-07,AG005,Elm Holidays,91.93,83.66,USD,
2026-02-07,DIRECT,Direct Channel,119.22,108.49,USD,
2026-02-13,AG001,Atlas Partners,135.14,122.98,USD,
2026-02-13,AG002,Beacon Agency,126.43,115.05,USD,
2026-02-13,AG003,Cedar Travel,113.72,103.49,USD,
2026-02-13,AG004,Drift Voyages,103.01,93.74,USD,
2026-02-13,AG005,Elm Holidays,92.30,83.99,USD,
2026-02-13,DIRECT,Direct Channel,119.59,108.83,USD,
2026-02-19,AG001,Atlas Partners,135.51,123.31,USD,
2026-02-19,AG002,Beacon Agency,126.80,115.39,USD,
2026-02-19,AG003,Cedar Travel,114.09,103.82,USD,
2026-02-19,AG003,Cedar Travel,0.00,-28.00,USD,refund_adjustment
2026-02-19,AG004,Drift Voyages,103.38,94.08,USD,
2026-02-19,AG005,Elm Holidays,92.67,84.33,USD,
2026-02-19,DIRECT,Direct Channel,119.96,109.16,USD,
2026-02-25,AG001,Atlas Partners,135.88,123.65,USD,
2026-02-25,AG002,Beacon Agency,127.17,115.72,USD,
2026-02-25,AG003,Cedar Travel,114.46,104.16,USD,
2026-02-25,AG004,Drift Voyages,103.75,94.41,USD,
2026-02-25,AG005,Elm Holidays,93.04,84.67,USD,
2026-02-25,DIRECT,Direct Channel,120.33,109.50,USD,
2026-03-01,AG001,Atlas Partners,135.35,123.17,USD,
2026-03-01,AG002,Beacon Agency,126.64,115.24,USD,
2026-03-01,AG003,Cedar Travel,113.93,103.68,USD,
2026-03-01,AG004,Drift Voyages,103.22,93.93,USD,
2026-03-01,AG005,Elm Holidays,92.51,84.18,USD,
2026-03-01,DIRECT,Direct Channel,119.80,109.02,USD,
2026-03-07,AG001,Atlas Partners,135.72,123.51,USD,
2026-03-07,AG002,Beacon Agency,127.01,115.58,USD,
2026-03-07,AG003,Cedar Travel,114.30,104.01,USD,
2026-03-07,AG004,Drift Voyages,103.59,94.27,USD,
2026-03-07,AG005,Elm Holidays,92.88,84.52,USD,
2026-03-07,DIRECT,Direct Channel,120.17,109.35,USD,
2026-03-13,AG001,Atlas Partners,136.09,123.84,USD,
2026-03-13,AG002,Beacon Agency,127.38,115.92,USD,
2026-03-13,AG003,Cedar Travel,114.67,104.35,USD,
2026-03-13,AG004,Drift Voyages,103.96,94.60,USD,
2026-03-13,AG005,Elm Holidays,93.25,84.86,USD,
2026-03-13,DIRECT,Direct Channel,120.54,109.69,USD,
2026-03-19,AG001,Atlas Partners,136.46,124.18,USD,
2026-03-19,AG002,Beacon Agency,127.75,116.25,USD,
2026-03-19,AG003,Cedar Travel,115.04,104.69,USD,
2026-03-19,AG004,Drift Voyages,104.33,94.94,USD,
2026-03-19,AG005,Elm Holidays,93.62,85.19,USD,
2026-03-19,DIRECT,Direct Channel,120.91,110.03,USD,
2026-03-25,AG001,Atlas Partners,136.83,124.52,USD,
2026-03-25,AG002,Beacon Agency,128.12,116.59,USD,
2026-03-25,AG003,Cedar Travel,115.41,105.02,USD,
2026-03-25,AG004,Drift Voyages,104.70,95.28,USD,
2026-03-25,AG005,Elm Holidays,93.99,85.53,USD,
2026-03-25,DIRECT,Direct Channel,121.28,110.36,USD,
2026-04-01,AG001,Atlas Partners,136.30,124.03,USD,
2026-04-01,AG002,Beacon Agency,127.59,116.11,USD,
2026-04-01,AG003,Cedar Travel,114.88,104.54,USD,
2026-04-01,AG004,Drift Voyages,104.17,94.79,USD,
2026-04-01,AG005,Elm Holidays,93.46,85.05,USD,
2026-04-01,DIRECT,Direct Channel,120.75,109.88,USD,
2026-04-07,AG001,Atlas Partners,136.67,124.37,USD,
2026-04-07,AG002,Beacon Agency,127.96,116.44,USD,
2026-04-07,AG003,Cedar Travel,115.25,104.88,USD,
2026-04-07,AG004,Drift Voyages,104.54,95.13,USD,
2026-04-07,AG005,Elm Holidays,93.83,85.39,USD,
2026-04-07,DIRECT,Direct Channel,121.12,110.22,USD,
2026-04-13,AG001,Atlas Partners,137.04,124.71,USD,
2026-04-13,AG002,Beacon Agency,128.33,116.78,USD,
2026-04-13,AG003,Cedar Travel,115.62,105.21,USD,
2026-04-13,AG004,Drift Voyages,104.91,95.47,USD,
2026-04-13,AG005,Elm Holidays,94.20,85.72,USD,
2026-04-13,DIRECT,Direct Channel,121.49,110.56,USD,
2026-04-19,AG001,Atlas Partners,137.41,125.04,USD,
2026-04-19,AG002,Beacon Agency,128.70,117.12,USD,
2026-04-19,AG003,Cedar Travel,115.99,105.55,USD,
2026-04-19,AG004,Drift Voyages,105.28,95.80,USD,
2026-04-19,AG005,Elm Holidays,94.57,86.06,USD,
2026-04-19,DIRECT,Direct Channel,121.86,110.89,USD,
2026-04-25,AG001,Atlas Partners,137.78,125.38,USD,
2026-04-25,AG002,Beacon Agency,129.07,117.45,USD,
2026-04-25,AG003,Cedar Travel,116.36,105.89,USD,
2026-04-25,AG004,Drift Voyages,105.65,96.14,USD,
2026-04-25,AG005,Elm Holidays,94.94,86.40,USD,
2026-04-25,DIRECT,Direct Channel,122.23,111.23,USD,
2026-05-01,AG001,Atlas Partners,137.25,124.90,USD,
2026-05-01,AG002,Beacon Agency,128.54,116.97,USD,
2026-05-01,AG003,Cedar Travel,115.83,105.41,USD,
2026-05-01,AG004,Drift Voyages,105.12,95.66,USD,
2026-05-01,AG005,Elm Holidays,94.41,85.91,USD,
2026-05-01,DIRECT,Direct Channel,121.70,110.75,USD,
2026-05-07,AG001,Atlas Partners,137.62,125.23,USD,
2026-05-07,AG002,Beacon Agency,128.91,117.31,USD,
2026-05-07,AG003,Cedar Travel,116.20,105.74,USD,
2026-05-07,AG004,Drift Voyages,105.49,96.00,USD,
2026-05-07,AG005,Elm Holidays,94.78,86.25,USD,
2026-05-07,DIRECT,Direct Channel,122.07,111.08,USD,
2026-05-07,DIRECT,Direct Channel,0.00,-46.00,USD,cancellation_adjustment
2026-05-13,AG001,Atlas Partners,137.99,125.57,USD,
2026-05-13,AG002,Beacon Agency,129.28,117.64,USD,
2026-05-13,AG003,Cedar Travel,116.57,106.08,USD,
2026-05-13,AG004,Drift Voyages,105.86,96.33,USD,
2026-05-13,AG005,Elm Holidays,95.15,86.59,USD,
2026-05-13,DIRECT,Direct Channel,122.44,111.42,USD,
2026-05-19,AG001,Atlas Partners,138.36,125.91,USD,
2026-05-19,AG002,Beacon Agency,129.65,117.98,USD,
2026-05-19,AG003,Cedar Travel,116.94,106.42,USD,
2026-05-19,AG004,Drift Voyages,106.23,96.67,USD,
2026-05-19,AG005,Elm Holidays,95.52,86.92,USD,
2026-05-19,DIRECT,Direct Channel,122.81,111.76,USD,
2026-05-25,AG001,Atlas Partners,138.73,126.24,USD,
2026-05-25,AG002,Beacon Agency,130.02,118.32,USD,
2026-05-25,AG003,Cedar Travel,117.31,106.75,USD,
2026-05-25,AG004,Drift Voyages,106.60,97.01,USD,
2026-05-25,AG005,Elm Holidays,95.89,87.26,USD,
2026-05-25,DIRECT,Direct Channel,123.18,112.09,USD,
2026-06-01,AG001,Atlas Partners,138.20,125.76,USD,
2026-06-01,AG002,Beacon Agency,129.49,117.84,USD,
2026-06-01,AG003,Cedar Travel,116.78,106.27,USD,
2026-06-01,AG004,Drift Voyages,106.07,96.52,USD,
2026-06-01,AG005,Elm Holidays,95.36,86.78,USD,
2026-06-01,DIRECT,Direct Channel,122.65,111.61,USD,
2026-06-07,AG001,Atlas Partners,138.57,126.10,USD,
2026-06-07,AG002,Beacon Agency,129.86,118.17,USD,
2026-06-07,AG003,Cedar Travel,117.15,106.61,USD,
2026-06-07,AG004,Drift Voyages,106.44,96.86,USD,
2026-06-07,AG005,Elm Holidays,95.73,87.11,USD,
2026-06-07,DIRECT,Direct Channel,123.02,111.95,USD,
2026-06-13,AG001,Atlas Partners,138.94,126.44,USD,
2026-06-13,AG002,Beacon Agency,130.23,118.51,USD,
2026-06-13,AG003,Cedar Travel,117.52,106.94,USD,
2026-06-13,AG004,Drift Voyages,106.81,97.20,USD,
2026-06-13,AG005,Elm Holidays,96.10,87.45,USD,
2026-06-13,DIRECT,Direct Channel,123.39,112.28,USD,
2026-06-19,AG001,Atlas Partners,139.31,126.77,USD,
2026-06-19,AG002,Beacon Agency,130.60,118.85,USD,
2026-06-19,AG003,Cedar Travel,117.89,107.28,USD,
2026-06-19,AG004,Drift Voyages,107.18,97.53,USD,
2026-06-19,AG005,Elm Holidays,96.47,87.79,USD,
2026-06-19,DIRECT,Direct Channel,123.76,112.62,USD,
2026-06-25,AG001,Atlas Partners,139.68,127.11,USD,
2026-06-25,AG002,Beacon Agency,130.97,119.18,USD,
2026-06-25,AG003,Cedar Travel,118.26,107.62,USD,
2026-06-25,AG004,Drift Voyages,107.55,97.87,USD,
2026-06-25,AG005,Elm Holidays,96.84,88.12,USD,
2026-06-25,DIRECT,Direct Channel,124.13,112.96,USD,
